provider_name,program_name,provider_type,cost_type,ages,address,city,state,zip,phone,email,website,source_url,notes,status
FloatSwim Seed Source,USA Swimming Find A Team & Lessons,National directory,Mixed,Varies by provider,,,,,,,https://www.usaswimming.org/parents/learn-to-swim,https://www.usaswimming.org/parents/learn-to-swim,USA Swimming parent page points to a provider search page for lessons and teams.,approved
United States Swim School Association,Find a School,National directory,Mixed,Varies by school,,,,,480-837-5525,,https://usswimschools.org/find-a-school/,https://usswimschools.org/find-a-school/,"Search form accepts school name plus address, city, or zip.",approved
Infant Swimming Resource,ISR Instructor Locator,National directory,Paid,6 months to 6 years (program focus),,,,,,,https://locator.infantswim.com/,https://locator.infantswim.com/,Locator supports search by zip code or exact address.,approved
SwimAmerica,Find a Program,National directory,Paid,Varies by program,,,,,,info@swimamerica.org,https://www.swimamerica.org/find-a-program,https://www.swimamerica.org/,Promotes a location finder for SwimAmerica programs.,approved
YMCA of Honolulu,Swim Lessons,Local YMCA chapter,Paid and scholarships vary,6 months and up,,Honolulu,HI,,,,https://www.ymcahonolulu.org/swimming/swim-lessons,https://www.ymcahonolulu.org/swimming/swim-lessons,"Chapter swim lessons page, includes group and private options.",approved
Sunsational Swim School,At-Home Private Swim Lessons,Multi-city private instructor network,Paid,All ages (per provider marketing),,Honolulu,HI,,,,https://www.sunsationalswimschool.com/honolulu--hi--private-swim-lessons,https://www.sunsationalswimschool.com/honolulu--hi--private-swim-lessons,Private in-home lessons listing page for Honolulu.,approved
Swim Baby Hawaii,ISR Hawaii Locations and Instructors,Local provider page,Paid,Infants and young children (ISR focus),,Honolulu,HI,,(808) 215-5696,a.harrer@infantswim.com,https://www.swimbabyhawaii.com/locations-instructors,https://www.swimbabyhawaii.com/locations-instructors,Example instructor listing with phone and email.,approved
FloatSwim Data Update Instructions,How to add resources to the directory dataset,Internal,Unknown,,,,,,,,,,"To add more resources: open the Google Sheet, go to the swim_lessons tab, add a new row with values for each column (provider_name, program_name, provider_type, cost_type, ages, address, city, state, zip, phone, email, website, source_url, notes, status). Set status to approved for the row to appear on the site. GitHub Actions runs daily at 3:17 AM UTC, or trigger manually from the Actions tab. Rows without status=approved are filtered out, use draft or pending to stage entries.",draft
Alabama Swim School,,Swimming school,Unknown,,2244 Pelham Pkwy,Pelham,AL,35124,,,,,"4.9 stars, 214 reviews",Approved
Rawlins Aquatic Center,,Indoor swimming pool,Unknown,,1401 Colorado St,Rawlins,WY,82301,#ERROR!,,,,"4.7 stars, 39 reviews",Approved
Aquatic Center,,Sports association,Unknown,,415 Paul W Bryant Dr,Tuscaloosa,AL,35487,#ERROR!,,,,"5 stars, 22 reviews",Approved
Anniston Aquatic & Fitness Center,,Physical fitness program,Unknown,,130 Summerall Gate Rd,Anniston,AL,36205,#ERROR!,,,,"4.6 stars, 250 reviews",Approved
Goldfish Swim School - Madison,,Swimming school,Unknown,,7696 Hwy 72 W Suite 110,Madison,AL,35758,#ERROR!,,,,"4.6 stars, 108 reviews",Approved
Mountainview Aquatic Swim Club,,Swim club,Unknown,,4633 Oak Dr,Gardendale,AL,35071,#ERROR!,,,,"4.8 stars, 46 reviews",Approved
Oneonta Aquatics Facility,,attractions,Unknown,,28119 AL-75,Oneonta,AL,35121,#ERROR!,,,,"4.5 stars, 52 reviews",Approved
Bruce Gresly Aquatic Center,,Swimming pool,Unknown,,450 S 9th St,Lander,WY,82520,,,,,"5 stars, 5 reviews",Approved
Aquatic Center,,Indoor swimming pool,Unknown,,7007 Randall Ave,Francis E. Warren AFB,WY,82005,#ERROR!,,,,"5 stars, 2 reviews",Approved
Sassy Swimmers/ Alabama Canine Swimming,,Dog trainer,Unknown,,865 Shades Crest Rd,Hoover,AL,35226,#ERROR!,,,,"4.9 stars, 19 reviews",Approved
SafeSplash Swim School - Huntsville,,Swimming school,Unknown,,3228 Leeman Ferry Rd SW,Huntsville,AL,35801,#ERROR!,,,,"4.7 stars, 12 reviews",Approved
Goldfish Swim School - Hoover,,Swimming school,Unknown,,5549 Grove Blvd,Hoover,AL,35226,#ERROR!,,,,"4.8 stars, 140 reviews",Approved
Birmingham Swim League,,Club,Unknown,,2331 Bessemer Rd,Birmingham,AL,35208,#ERROR!,,,,"5 stars, 4 reviews",Approved
Aqua-Tots Swim School Hoover,,attractions,Unknown,,1694 Montgomery Hwy,Hoover,AL,35216,#ERROR!,,,,"4.9 stars, 34 reviews",Approved
Adventure Sports II Inc,,Dive shop,Unknown,,1546 E Ann St,Montgomery,AL,36107,#ERROR!,,,,"4.7 stars, 69 reviews",Approved
Brock's Gap Swim Club (private),,Swim club,Unknown,,1314 Scout Trace,Hoover,AL,35244,#ERROR!,,,,"4.7 stars, 21 reviews",Approved
Capital City Athletics Swim Club & Learn To Swim Lessons,,Swim club,Unknown,,1213 W Allison Rd,Cheyenne,WY,82007,#ERROR!,,,,"4 stars, 8 reviews",Approved
Swim Like Fish,,Swimming instructor,Unknown,,924 S Forrest Dr,Birmingham,AL,35209,#ERROR!,,,,"4.9 stars, 30 reviews",Approved
Woodland Swim Club,,Swim club,Unknown,,446 Cottage Hill Rd,Mobile,AL,36606,#ERROR!,,,,"4.5 stars, 24 reviews",Approved
Goldfish Swim School - Montgomery,,Swimming school,Unknown,,2460 Berryhill Rd,Montgomery,AL,36117,#ERROR!,,,,"4.7 stars, 32 reviews",Approved
Swim Alaska,,Swim club,Unknown,,690 Cindy Cir,Wasilla,AK,99654,#ERROR!,,,,"4.1 stars, 21 reviews",Approved
Lancaster Aquatic Center,,Aquatic center,Unknown,,416 Complex Dr,Lexington,KY,40502,#ERROR!,,,,"4.5 stars, 78 reviews",Approved
Swim Academy at Little Rock Athletic Club,,Swimming,Unknown,,4610 Sam Peck Rd b,Little Rock,AR,72223,#ERROR!,,,,"5 stars, 1 reviews",Approved
Aqua-Tots Swim School Louisville,,Swimming school,Unknown,,117 Blankenbaker Pkwy,Douglass Hills,KY,40243,#ERROR!,,,,"4.6 stars, 215 reviews",Approved
Goldfish Swim School - St. Matthews,,Swimming school,Unknown,,4176 Westport Rd,Louisville,KY,40207,#ERROR!,,,,"4.8 stars, 85 reviews",Approved
Defiance Area YMCA,,Association / Organization,Unknown,,1599 Palmer Dr #3419,Defiance,OH,43512,#ERROR!,,,,"4 stars, 252 reviews",Approved
AVIS Alaska Sports Complex Swimming Pool,,Swimming pool,Unknown,,2801 Spirit Way,Anchorage,AK,99508,#ERROR!,,,,"4.8 stars, 5 reviews",Approved
Aquatic Foundation of Alaska,,Swim club,Unknown,,2801 Spirit Way,Anchorage,AK,99508,#ERROR!,,,,"5 stars, 4 reviews",Approved
Brighton Swim Academy,,Swimming school,Unknown,,3407 Salterbeck St,Mt Pleasant,SC,29466,#ERROR!,,,,"5 stars, 39 reviews",Approved
Kentucky Swim Academy,,Swimming school,Unknown,,1935 Stanton Way,Lexington,KY,40511,,,,,"5 stars, 1 reviews",Approved
Glacier Swim Club,,Club,Unknown,,1619 Glacier Ave,Juneau,AK,99801,#ERROR!,,,,"4.7 stars, 3 reviews",Approved
The Alaska Club East Gym & Pool,,Gym,Unknown,,5201 E Tudor Rd,Anchorage,AK,99507,#ERROR!,,,,"3.6 stars, 437 reviews",Approved
Alaska Swimamerica Program,,Swimming instructor,Unknown,,7120 Old Seward Hwy,Anchorage,AK,99518,#ERROR!,,,,"1 stars, 1 reviews",Approved
Northern Lights Swim Club,,Swimming instructor,Unknown,,5577 Abbott Rd,Anchorage,AK,99507,#ERROR!,,,,"4.3 stars, 6 reviews",Approved
The Y Ymca,,Gym,Unknown,,5930 Six Mile Ln,Louisville,KY,40218,#ERROR!,,,,"4.7 stars, 30 reviews",Approved
Swim Fit Alaska,,Personal trainer,Unknown,,,,,,,,,,"5 stars, 2 reviews",Approved
Life Time Swim School,,Swimming school,Unknown,,8001 Forestview Ln N,Maple Grove,MN,55369,#ERROR!,,,,"3.8 stars, 68 reviews",Approved
Great Wolf Lodge | Concord,,hotels,Unknown,,10175 Weddington Rd,Concord,NC,28027,#ERROR!,,,,"4.3 stars, 11647 reviews",Approved
YMCA of Alaska at East Pool,,attractions,Unknown,,4025 E 20th Ave,Anchorage,AK,99508,#ERROR!,,,,"4.1 stars, 38 reviews",Approved
Kate Kuhns Aquatic Center,,Swimming pool,Unknown,,600 Fairview Ave,Homer,AK,99603,#ERROR!,,,,"4.5 stars, 8 reviews",Approved
British Swim School of Hilton Garden Inn Fishkill,,Swimming school,Unknown,,25 Westage Dr,Fishkill,NY,12524,#ERROR!,,,,"4.9 stars, 29 reviews",Approved
Bolle Adult Swim School,,Swimming instructor,Unknown,,5805 W Navajo Dr,Glendale,AZ,85302,#ERROR!,,,,"4.9 stars, 98 reviews",Approved
Swim Scottsdale,,Swimming instructor,Unknown,,17900 Hayden Rd,Scottsdale,AZ,85255,#ERROR!,,,,"5 stars, 45 reviews",Approved
Arizona Aqua Stars,,Swim club,Unknown,,850 N Horne St,Mesa,AZ,85213,#ERROR!,,,,"4.7 stars, 6 reviews",Approved
Scottsdale Aquatic Club,,Swim club,Unknown,,7202 E Cactus Rd,Scottsdale,AZ,85260,#ERROR!,,,,"4.7 stars, 23 reviews",Approved
Jr's Swim School,,Swimming school,Unknown,,1930 W Pinnacle Peak Rd,Phoenix,AZ,85027,#ERROR!,,,,"4.9 stars, 50 reviews",Approved
Aqua-Tots Swim School Mesa,,Swimming school,Unknown,,1122 S Greenfield Rd,Mesa,AZ,85206,#ERROR!,,,,"4.9 stars, 249 reviews",Approved
Swim with Steph,,Swimming instructor,Unknown,,14153 N 101st St Suit 101,Scottsdale,AZ,85260,#ERROR!,,,,"5 stars, 3 reviews",Approved
Swim & Play Fishkill,,Swimming school,Unknown,,544 US-9,Fishkill,NY,12524,#ERROR!,,,,"5 stars, 2 reviews",Approved
Aqua-Tots Swim School Paradise Valley,,Swimming school,Unknown,,12825 N Tatum Blvd,Phoenix,AZ,85032,#ERROR!,,,,"4.7 stars, 360 reviews",Approved
Aqua Pros Swim School AZ,,Swimming school,Unknown,,1126 S Gilbert Rd,Mesa,AZ,85204,#ERROR!,,,,"5 stars, 16 reviews",Approved
Aqua-Tots Swim School Central Phoenix,,Swimming school,Unknown,,7824 N 12th St,Phoenix,AZ,85020,#ERROR!,,,,"4.6 stars, 126 reviews",Approved
Mesa Aquatics Club Masters - Kino Location,,Swim club,Unknown,,848 N Horne,Mesa,AZ,85203,#ERROR!,,,,"4.5 stars, 17 reviews",Approved
Swimhaus Swim School,,Swimming school,Unknown,,868 N Gilbert Rd Suite 100,Gilbert,AZ,85234,#ERROR!,,,,"4.8 stars, 247 reviews",Approved
Arizona Swimming Inc,,Non-profit organization,Unknown,,301 E Bethany Home Rd,Phoenix,AZ,85012,#ERROR!,,,,"5 stars, 2 reviews",Approved
Aqua-Tots Swim School Surprise,,Swimming school,Unknown,,13833 W Bell Rd,Surprise,AZ,85374,#ERROR!,,,,"4.8 stars, 245 reviews",Approved
Hubbard Family Swim School,,Swimming school,Unknown,,13832 N 32nd St Suite 100,Phoenix,AZ,85032,#ERROR!,,,,"4.8 stars, 373 reviews",Approved
Flying Fish Arizona Swim Team and Swim Lessons,,Swim club,Unknown,,23 W Calle Concordia,Oro Valley,AZ,85704,,,,,"5 stars, 3 reviews",Approved
Arizona Infant Swim,,Swimming instructor,Unknown,,,,,,#ERROR!,,,,"5 stars, 1 reviews",Approved
Kim Courtney's Swim School,,Swimming instructor,Unknown,,28155 N 74th St,Scottsdale,AZ,85266,#ERROR!,,,,"4 stars, 20 reviews",Approved
Arkansas Swim Academy,,Swimming school,Unknown,,3709 W Southern Hills Blvd,Rogers,AR,72758,#ERROR!,,,,"4.7 stars, 164 reviews",Approved
University Of Idaho Swim Center,,Swimming pool,Unknown,,1030 S Rayburn St,Moscow,ID,83844,#ERROR!,,,,"4.6 stars, 75 reviews",Approved
Searcy Swim Center,,Indoor swimming pool,Unknown,,525 Recreation Wy,Searcy,AR,72143,#ERROR!,,,,"4.6 stars, 288 reviews",Approved
London School of Aquatics,,Indoor swimming pool,Unknown,,505 Georgetown Rd,London,AR,72847,#ERROR!,,,,"4.6 stars, 7 reviews",Approved
Western Oregon University Aquatic Center,,Swimming facility,Unknown,,332 Jackson St W,Monmouth,OR,97361,#ERROR!,,,,,Approved
Baker County YMCA - Sam-O-Swim Center,,Indoor swimming pool,Unknown,,580 Baker St,Baker City,OR,97814,#ERROR!,,,,"4.3 stars, 56 reviews",Approved
Goldfish Swim School - Rogers NWA,,Swimming school,Unknown,,4319 S Pleasant Crossing Blvd Unit 105,Rogers,AR,72758,#ERROR!,,,,"4.7 stars, 160 reviews",Approved
SLV Swim Center,,Swimming instructor,Unknown,,9050 CA-9,Ben Lomond,CA,95005,#ERROR!,,,,"4.4 stars, 13 reviews",Approved
California Sports Center Swim Complex,,Swimming facility,Unknown,,1283 Sunnyvale Saratoga Rd,Sunnyvale,CA,94087,,,,,"4.4 stars, 42 reviews",Approved
Rachel Taylor Swim School,,Swimming school,Unknown,,7 S Cambridge Dr,Lemoore,CA,93245,#ERROR!,,,,"4.8 stars, 27 reviews",Approved
Cuesta College Swimming Pool,,Swimming pool,Unknown,,CA-1,San Luis Obispo,CA,93405,#ERROR!,,,,"4.7 stars, 32 reviews",Approved
CALI PIRANHA SWIM TEAM,,Swim club,Unknown,,3306 Senior Center Dr,Oceanside,CA,92056,#ERROR!,,,,"5 stars, 6 reviews",Approved
Lucky Duck Swim School,,Swimming school,Unknown,,2421 Marine Ave,Gardena,CA,90249,#ERROR!,,,,"4.3 stars, 61 reviews",Approved
Stan State Aquatics,,Aquatic center,Unknown,,,Turlock,CA,95382,#ERROR!,,,,"4.8 stars, 6 reviews",Approved
Castro Valley Swim Center,,Swimming pool,Unknown,,,Castro Valley,CA,94546,,,,,"4.2 stars, 11 reviews",Approved
Southern California Swimming,,Youth organization,Unknown,,29000 S Western Ave Suite #304,Rancho Palos Verdes,CA,90275,#ERROR!,,,,,Approved
Swimphi Hawthorne,,Swimming school,Unknown,,12501 S Inglewood Ave,Hawthorne,CA,90250,,,,,"5 stars, 1 reviews",Approved
Main Street Swim School: Rancho Palos Verdes,,Swimming school,Unknown,,28901 S Western Ave,Rancho Palos Verdes,CA,90275,#ERROR!,,,,"5 stars, 28 reviews",Approved
Needles Aquatics Center,,attractions,Unknown,,1101 Civic Center Dr,Needles,CA,92363,#ERROR!,,,,"4.1 stars, 40 reviews",Approved
Safe Aquatics,,Swimming school,Unknown,,14587 Brookhill Rd,Madera,CA,93636,#ERROR!,,,,"5 stars, 16 reviews",Approved
Orangecrest Swim School,,Swimming instructor,Unknown,,8860 Stony Brook Cir,Riverside,CA,92508,,,,,"4.6 stars, 10 reviews",Approved
Dolphin Aquatics Swim Team,,Swim club,Unknown,,29751 Crown Valley Pkwy,Laguna Niguel,CA,92677,#ERROR!,,,,"5 stars, 4 reviews",Approved
Joseph E. Gallo Recreation & Wellness Center,,Wellness center,Unknown,,Muir Pass Road,Merced,CA,95340,#ERROR!,,,,"4.5 stars, 48 reviews",Approved
Aqua Gliders Swim School,,Swimming instructor,Unknown,,727 W 6th St,Gilroy,CA,95020,#ERROR!,,,,"5 stars, 23 reviews",Approved
Porterville City Pool,,attractions,Unknown,,97 N Park Dr,Porterville,CA,93257,#ERROR!,,,,"4.4 stars, 229 reviews",Approved
Lindsay Wellness Center,,Wellness center,Unknown,,860 North Sequoia,Lindsay,CA,93247,#ERROR!,,,,"4.4 stars, 103 reviews",Approved
Yosemite Marlins Swim Club,,Club,Unknown,,,Oakhurst,CA,93644,#ERROR!,,,,"4 stars, 2 reviews",Approved
Colorado Springs Swim Lessons,,Swimming instructor,Unknown,,4515 Barnes Rd,Colorado Springs,CO,80917,#ERROR!,,,,"1 stars, 1 reviews",Approved
Little Kickers Swim School,,Swimming instructor,Unknown,,1423 S Holly St,Denver,CO,80222,#ERROR!,,,,"4.9 stars, 420 reviews",Approved
Swim With Kathy,,Swimming instructor,Unknown,,225 N Columbus Dr,Chicago,IL,60601,#ERROR!,,,,"5 stars, 5 reviews",Approved
British Swim School at Spark by Hilton - Colorado Springs,,Swimming school,Unknown,,7245 Commerce Center Dr,Colorado Springs,CO,80919,#ERROR!,,,,"4.9 stars, 35 reviews",Approved
British Swim School at LA Fitness – South Loop,,Swimming school,Unknown,,1101 S Canal St,Chicago,IL,60607,#ERROR!,,,,"4.3 stars, 21 reviews",Approved
Pikes Peak Athletics Training Center,,Swimming pool,Unknown,,602 Elkton Dr,Colorado Springs,CO,80907,#ERROR!,,,,"4.5 stars, 131 reviews",Approved
Colorado Swim School,,Swimming school,Unknown,,5075 W 120th Ave,Broomfield,CO,80020,#ERROR!,,,,"4.5 stars, 111 reviews",Approved
First Class Swim School,,Swimming school,Unknown,,100 E 14th St,Chicago,IL,60605,#ERROR!,,,,"5 stars, 2 reviews",Approved
Pikes Peak Athletics - The Country Club of Colorado Location,,Swimming facility,Unknown,,125 Clubhouse Dr,Colorado Springs,CO,80906,#ERROR!,,,,"5 stars, 9 reviews",Approved
Country Creek Swim School,,Swimming instructor,Unknown,,8805 Country Creek Trail,Colorado Springs,CO,80924,#ERROR!,,,,"5 stars, 6 reviews",Approved
Cheyenne Mountain Aquatics Swim Team,,Swim club,Unknown,,Clubhouse Dr,Colorado Springs,CO,80906,#ERROR!,,,,"5 stars, 4 reviews",Approved
Little Fins Swim School - Garden of the Gods (Formerly Mermaid Cove),,Swimming school,Unknown,,4465 Northpark Dr #150,Colorado Springs,CO,80907,#ERROR!,,,,"4.7 stars, 107 reviews",Approved
Student Aquatic Center,,Swimming pool,Unknown,,750 New Madrid St,Cape Girardeau,MO,63701,#ERROR!,,,,"4.5 stars, 10 reviews",Approved
Worden Aquatics,,Swimming instructor,Unknown,,801 Percy Warner Blvd,Nashville,TN,37205,#ERROR!,,,,"4.9 stars, 120 reviews",Approved
Diventures,,attractions,Unknown,,4940 Rusina Rd,Colorado Springs,CO,80907,#ERROR!,,,,"4.8 stars, 250 reviews",Approved
Wulf Recreation Center,,Recreation center,Unknown,,5300 S Olive Rd,Evergreen,CO,80439,#ERROR!,,,,"4.3 stars, 169 reviews",Approved
Foothills Park & Recreation District,,Recreation center,Unknown,,6612 S Ward St,Littleton,CO,80127,#ERROR!,,,,"4.5 stars, 176 reviews",Approved
The Trails Recreation Center,,Recreation center,Unknown,,16799 E Lake Ave,Centennial,CO,80016,#ERROR!,,,,"4.5 stars, 1251 reviews",Approved
Silverthorne Recreation Center,,Recreation center,Unknown,,430 Rainbow Dr,Silverthorne,CO,80498,#ERROR!,,,,"4.6 stars, 583 reviews",Approved
